No,行政区,店舗名,指定区分,住所,内容,店舗詳細,経度,緯度
1,西区,"埼玉福祉事業協会
杉の子マート",[情]  健康情報発信,西区塚本町1-1-1,パン,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=28325,139.560807,35.882305
2,西区,錦せんべい本舗,[情]  健康情報発信,西区土屋106-3,和菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=29924,139.571903,35.906216
3,西区,ひだまり,[バ・情]  バランスメニュー提供・健康情報発信,西区塚本町3-140-2,和洋,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=28324,139.560452,35.875378
4,西区,"花の食品館
レストラン",[バ・情]  バランスメニュー提供・健康情報発信,西区西新井216,和洋中,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51683,139.590487,35.940938
5,西区,ロンシャン,[情]  健康情報発信,西区指扇領別所３８２－４,洋菓子,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52436,139.56464,35.92167
6,西区,クロワッサン,[情]  健康情報発信,西区指扇1020-6,パン,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=52453,139.56464,35.91146
7,北区,"マレリ本社事業所
従業員食堂",[バ・情]  バランスメニュー提供・健康情報発信,北区日進町2-1917,和洋中,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=35840,139.608058,35.935956
8,北区,45 CAFE,[バ・情]  バランスメニュー提供・健康情報発信,北区宮原町1-262-1,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=50962,139.617574,35.935154
9,北区,レ・スリジェ,[バ・情]  バランスメニュー提供・健康情報発信,北区東大成町2丁目214番地クレセントビル2F,洋食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51260,139.619279,35.925939
10,北区,満留賀,[バ・情]  バランスメニュー提供・健康情報発信,北区土呂町1-2-5,和食,http://genki365.net/gnks14/mypage/mypage_sheet.php?id=51671,139.629481,35.930016
