さいたま市町名別人口,2022/2/28,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11101,西区　　　               ,宮前町　　　　　　　,ミヤマエチヨウ　　　,1515,1715,1710,3425
11101,西区　　　               ,三橋５丁目　　　　　,ミハシ５チヨウメ　　,1666,1738,1735,3473
11101,西区　　　               ,三橋６丁目　　　　　,ミハシ６チヨウメ　　,4307,4890,4905,9795
11101,西区　　　               ,大字指扇　　　　　　,サシオウギ　　　　　,8113,8722,8920,17642
11101,西区　　　               ,大字指扇領別所　　　,サシオウギリヨウ　　,1330,1272,1358,2630
11101,西区　　　               ,大字宝来　　　　　　,ホウライ　　　　　　,1816,1834,1935,3769
11101,西区　　　               ,大字峰岸　　　　　　,ミネギシ　　　　　　,309,272,319,591
11101,西区　　　               ,大字指扇領辻　　　　,サシオウギリヨウ　　,175,206,195,401
11101,西区　　　               ,大字中釘　　　　　　,ナカクギ　　　　　　,847,906,964,1870
11101,西区　　　               ,大字高木　　　　　　,タカギ　　　　　　　,1246,1353,1406,2759
11101,西区　　　               ,大字清河寺　　　　　,セイガンジ　　　　　,564,557,607,1164
11101,西区　　　               ,大字内野本郷　　　　,ウチノホンゴウ　　　,2387,2782,2724,5506
11101,西区　　　               ,大字西新井　　　　　,ニシアライ　　　　　,270,295,301,596
11101,西区　　　               ,大字平方領々家　　　,ヒラカタリヨウリヨ　,116,151,145,296
11101,西区　　　               ,大字西遊馬　　　　　,ニシアスマ　　　　　,2107,2207,2242,4449
11101,西区　　　               ,大字土屋　　　　　　,ツチヤ　　　　　　　,1619,1651,1684,3335
11101,西区　　　               ,大字二ツ宮　　　　　,フタツミヤ　　　　　,924,1013,1078,2091
11101,西区　　　               ,大字飯田新田　　　　,イイダシンデン　　　,466,519,490,1009
11101,西区　　　               ,大字塚本　　　　　　,ツカモト　　　　　　,19,16,17,33
11101,西区　　　               ,大字植田谷本村新田　,ウエタヤホンムラシン,7,6,6,12
11101,西区　　　               ,湯木町１丁目　　　　,ユギチヨウ１チヨウメ,39,46,49,95
11101,西区　　　               ,湯木町２丁目　　　　,ユギチヨウ２チヨウメ,47,53,54,107
11101,西区　　　               ,塚本町１丁目　　　　,ツカモトチヨウ１チヨ,30,30,29,59
11101,西区　　　               ,塚本町２丁目　　　　,ツカモトチヨウ２チヨ,48,58,55,113
11101,西区　　　               ,塚本町３丁目　　　　,ツカモトチヨウ３チヨ,59,73,74,147
11101,西区　　　               ,プラザ　　　　　　　,プラザ　　　　　　　,1501,1595,1740,3335
11101,西区　　　               ,大字島根　　　　　　,シマネ　　　　　　　,493,548,573,1121
11101,西区　　　               ,大字三条町　　　　　,サンジヨウチヨウ　　,211,247,254,501
11101,西区　　　               ,大字植田谷本　　　　,ウエタヤホン　　　　,1265,1205,1254,2459
11101,西区　　　               ,大字中野林　　　　　,ナカノバヤシ　　　　,925,1059,1063,2122
11101,西区　　　               ,大字飯田　　　　　　,イイダ　　　　　　　,449,549,536,1085
11101,西区　　　               ,大字水判土　　　　　,ミズハタ　　　　　　,652,735,768,1503
11101,西区　　　               ,大字佐知川　　　　　,サヂカワ　　　　　　,3300,3667,3790,7457
11101,西区　　　               ,西大宮１丁目　　　　,ニシオオミヤ１チヨウ,991,1041,1070,2111
11101,西区　　　               ,西大宮２丁目　　　　,ニシオオミヤ２チヨウ,568,751,748,1499
11101,西区　　　               ,西大宮３丁目　　　　,ニシオオミヤ３チヨウ,1286,1584,1580,3164
11101,西区　　　               ,西大宮４丁目　　　　,ニシオオミヤ４チヨウ,865,1258,1230,2488
11102,北区　　　               ,大成町４丁目　　　　,オオナリチヨウ４チヨ,2962,3120,3233,6353
11102,北区　　　               ,東大成町１丁目　　　,ヒガシオオナリチヨウ,2518,2303,2263,4566
11102,北区　　　               ,東大成町２丁目　　　,ヒガシオオナリチヨウ,2652,2826,2939,5765
11102,北区　　　               ,日進町１丁目　　　　,ニツシンチヨウ１チヨ,4955,5434,4764,10198
11102,北区　　　               ,日進町２丁目　　　　,ニツシンチヨウ２チヨ,7494,7516,8065,15581
11102,北区　　　               ,日進町３丁目　　　　,ニツシンチヨウ３チヨ,2839,2807,2868,5675
11102,北区　　　               ,＿引町２丁目　　　　,クシヒキチヨウ２チヨ,2293,2492,2571,5063
11102,北区　　　               ,宮原町１丁目　　　　,ミヤハラチヨウ１チヨ,4658,5323,5550,10873
11102,北区　　　               ,宮原町２丁目　　　　,ミヤハラチヨウ２チヨ,3206,3253,3090,6343
11102,北区　　　               ,宮原町３丁目　　　　,ミヤハラチヨウ３チヨ,3352,3716,3819,7535
11102,北区　　　               ,宮原町４丁目　　　　,ミヤハラチヨウ４チヨ,3092,3293,3187,6480
11102,北区　　　               ,吉野町１丁目　　　　,ヨシノチヨウ１チヨウ,3215,3611,3466,7077
11102,北区　　　               ,吉野町２丁目　　　　,ヨシノチヨウ２チヨウ,1945,2114,2044,4158
11102,北区　　　               ,別所町　　　　　　　,ベツシヨチヨウ　　　,2647,2971,3038,6009
11102,北区　　　               ,奈良町　　　　　　　,ナラチヨウ　　　　　,4492,4822,4755,9577
11102,北区　　　               ,植竹町１丁目　　　　,ウエタケチヨウ１チヨ,2355,2444,2564,5008
11102,北区　　　               ,植竹町２丁目　　　　,ウエタケチヨウ２チヨ,772,587,825,1412
11102,北区　　　               ,盆栽町　　　　　　　,ボンサイチヨウ　　　,1864,1850,1989,3839
11102,北区　　　               ,土呂町　　　　　　　,トロチヨウ　　　　　,299,261,248,509
11102,北区　　　               ,土呂町１丁目　　　　,トロチヨウ１チヨウメ,3066,3047,3212,6259
11102,北区　　　               ,土呂町２丁目　　　　,トロチヨウ２チヨウメ,2893,2734,2858,5592
11102,北区　　　               ,今羽町　　　　　　　,コンバチヨウ　　　　,1854,1946,1997,3943
11102,北区　　　               ,本郷町　　　　　　　,ホンゴウチヨウ　　　,5157,5741,5902,11643
11103,大宮区　　               ,大原６丁目　　　　　,オオハラ６チヨウメ　,200,212,225,437
11103,大宮区　　               ,大原７丁目　　　　　,オオハラ７チヨウメ　,250,223,258,481
11103,大宮区　　               ,北袋町１丁目　　　　,キタブクロチヨウ１チ,2088,2392,2582,4974
11103,大宮区　　               ,北袋町２丁目　　　　,キタブクロチヨウ２チ,1466,1623,1506,3129
11103,大宮区　　               ,吉敷町１丁目　　　　,キシキチヨウ１チヨウ,643,655,647,1302
11103,大宮区　　               ,吉敷町２丁目　　　　,キシキチヨウ２チヨウ,881,816,793,1609
11103,大宮区　　               ,吉敷町３丁目　　　　,キシキチヨウ３チヨウ,692,631,664,1295
11103,大宮区　　               ,吉敷町４丁目　　　　,キシキチヨウ４チヨウ,789,586,695,1281
11103,大宮区　　               ,浅間町１丁目　　　　,センゲンチヨウ１チヨ,667,584,605,1189
11103,大宮区　　               ,浅間町２丁目　　　　,センゲンチヨウ１チヨ,707,755,755,1510
