No,区分,施設名,大分類,中分類,小分類,細分類,所在地,経度,緯度
1,コミュニティ関連施設,市民活動サポートセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,市民活動サポートセンター,浦和区東高砂町11番1,139.659134,35.858694
2,コミュニティ関連施設,プラザイースト,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,プラザ,緑区大字中尾1440番8,139.685775,35.8717325
3,コミュニティ関連施設,プラザウエスト,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,プラザ,桜区道場４丁目3番1,139.610193,35.855922
4,コミュニティ関連施設,プラザノース,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,プラザ,北区宮原町１丁目852番1,139.6203592,35.9314988
5,コミュニティ関連施設,馬宮コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,西区大字西遊馬533番1,139.572728,35.905091
6,コミュニティ関連施設,西部文化センター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,西区三橋６丁目642番4,139.591937,35.917659
7,コミュニティ関連施設,宮原コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,北区吉野町２丁目195番1,139.600761,35.958573
8,コミュニティ関連施設,高鼻コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,大宮区高鼻町２丁目292番1,139.631595,35.915919
9,コミュニティ関連施設,大宮工房館,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,大宮区堀の内町１丁目577番3,139.641459,35.912183
10,コミュニティ関連施設,東大宮コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,見沼区東大宮４丁目31番1,139.637355,35.949533
11,コミュニティ関連施設,七里コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,見沼区大字大谷1210番,139.674347,35.921041
12,コミュニティ関連施設,片柳コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,見沼区染谷３丁目147番1,139.684055,35.909901
13,コミュニティ関連施設,与野本町コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,中央区本町東３丁目5番43,139.623672,35.883642
14,コミュニティ関連施設,上峰コミュニティホール,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,中央区上峰２丁目3番5,139.616545,35.873996
15,コミュニティ関連施設,西与野コミュニティホール,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,中央区桜丘２丁目6番28,139.61492,35.882189
16,コミュニティ関連施設,下落合コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,中央区大字下落合1712番,139.636637,35.884742
17,コミュニティ関連施設,浦和コミュニティセンター,市民利用施設,市民文化・社会教育系施設,コミュニティ関連施設,コミュニティセンター,浦和区東高砂町11番1,139.659134,35.858694
