区名,施設名,所在地,種類
西区,馬宮配水場,飯田新田351,浄・配水場
西区,北部配水場,宝来880-1,浄・配水場
西区,指扇小学校,西大宮1-49-6,災害用貯水タンク
西区,馬宮中学校,二ツ宮589-1,災害用貯水タンク
西区,土屋中学校,土屋1766-1,災害用貯水タンク
西区,大宮西中学校,三橋6-1558,災害用貯水タンク
西区,指扇北小学校,中釘1506-1,非常災害用井戸
西区,栄小学校,飯田811,非常災害用井戸
西区,指扇中学校,西大宮3-31-1,非常災害用井戸
西区,大宮西小学校,三橋5-1359,非常災害用井戸
北区,高鼻浄水場,盆栽町200,浄・配水場
北区,日進浄水場,日進町1-734,浄・配水場
北区,日進北小学校,日進町3-178,災害用貯水タンク
北区,日進中学校,櫛引町2-503-1,災害用貯水タンク
北区,宮原小学校,宮原町4-102-6,災害用貯水タンク
北区,つばさ小学校,宮原町3-902-4,災害用貯水タンク
北区,大宮別所小学校,別所町42-1,災害用貯水タンク
北区,大砂土小学校,本郷町1,災害用貯水タンク
北区,東大成小学校,東大成町2-12,災害用貯水タンク
北区,前谷公園,吉野町1-9,災害用貯水タンク
北区,つつじヶ丘公園,吉野町2-213,災害用貯水タンク
北区,水道総合センター,東大成町2-445-1,非常災害用井戸
大宮区,大宮配水場,桜木町4-534-1,浄・配水場
大宮区,新都心配水場,吉敷町4-265,浄・配水場
大宮区,大宮南小学校,吉敷町3-87,災害用貯水タンク
大宮区,大宮東小学校,堀の内町3-145,災害用貯水タンク
大宮区,大宮北小学校,宮町3-84,災害用貯水タンク
大宮区,桜木中学校,桜木町4-219,災害用貯水タンク
大宮区,大成小学校,大成町2-282,災害用貯水タンク
大宮区,三橋小学校,三橋2-20,災害用貯水タンク
大宮区,大宮国際中等教育学校,三橋4-96,災害用貯水タンク
大宮区,大宮東中学校,堀の内町1-99,非常災害用井戸
見沼区,東大宮浄水場,東大宮4-51-1,浄・配水場
見沼区,東部配水場,御蔵1567-1,浄・配水場
見沼区,深作配水場,深作921-1,浄・配水場
見沼区,大宮八幡中学校,南中丸357,災害用貯水タンク
見沼区,七里小学校,東宮下312,災害用貯水タンク
見沼区,大谷中学校,大谷1634-2,災害用貯水タンク
見沼区,蓮沼小学校,蓮沼1070,災害用貯水タンク
見沼区,春里中学校,小深作268-19,災害用貯水タンク
