種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,地震,洪水,崖崩れ,大規模な火事,指定避難所との重複
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,指扇小学校,埼玉県さいたま市西区西大宮1-49-6,35.92283441,139.573297,サシオウギショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,馬宮東小学校,埼玉県さいたま市西区大字西遊馬189-1,35.90391861,139.571323,マミヤヒガシショウガッコウ,可,不可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,馬宮西小学校,埼玉県さいたま市西区大字飯田新田189-2,35.88621385,139.5593925,マミヤニシショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,植水小学校,埼玉県さいたま市西区大字中野林225-1,35.89444688,139.5948369,ウエミズショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大宮西小学校,埼玉県さいたま市西区三橋5-1359,35.90422715,139.5904575,オオミヤニシショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,栄小学校,埼玉県さいたま市西区大字飯田811,35.90687982,139.5830284,サカエショウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,宮前小学校,埼玉県さいたま市西区宮前町341,35.92300185,139.5947462,ミヤマエショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,指扇北小学校,埼玉県さいたま市西区大字中釘1506-1,35.93357649,139.571891,サシオウギキタショウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,指扇中学校,埼玉県さいたま市西区西大宮3-31-1,35.92764846,139.576683,サシオウギチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,馬宮中学校,埼玉県さいたま市西区大字二ツ宮589-1,35.89871378,139.5799737,マミヤチュウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,大宮西中学校,埼玉県さいたま市西区三橋6-1558,35.92009529,139.59074,オオミヤニシチュウガッコウ,可,可,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,宮前中学校,埼玉県さいたま市西区宮前町1467-1,35.92975997,139.5981629,ミヤマエチュウガッコウ,可,２Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,植水中学校,埼玉県さいたま市西区大字三条町345-1,35.88689659,139.5838512,ウエミズチュウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,土屋中学校,埼玉県さいたま市西区大字土屋1766-1,35.9117327,139.5713233,ツチヤチュウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立大宮光陵高等学校,埼玉県さいたま市西区大字中野林145,35.89470937,139.5894314,ケンリツオオミヤコウリョウコウトウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立大宮南高等学校,埼玉県さいたま市西区大字植田谷本793,35.88823121,139.5897208,ケンリツオオミヤミナミコウトウガッコウ,可,３Ｆ以上,可,,あり
指定緊急避難場所,災害の危険から命を守るために緊急的に避難する場所,県立大宮武蔵野高等学校,埼玉県さいたま市西区大字西遊馬1601,35.9094594,139.5604624,ケンリツオオミヤムサシノコウトウガッコウ,可,不可,可,,あり
