種別,避難所等の定義,施設等の名称,住所,lat,lon,読み,指定緊急避難場所との重複
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,指扇小学校,埼玉県さいたま市西区西大宮1-49-6,35.92283441,139.573297,サシオウギショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,馬宮東小学校,埼玉県さいたま市西区西遊馬189-1,35.90391861,139.571323,マミヤヒガシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,馬宮西小学校,埼玉県さいたま市西区飯田新田189-2,35.88621385,139.5593925,マミヤニシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,植水小学校,埼玉県さいたま市西区中野林225-1,35.89444688,139.5948369,ウエミズショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮西小学校,埼玉県さいたま市西区三橋5-1359,35.90422715,139.5904575,オオミヤニシショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,栄小学校,埼玉県さいたま市西区飯田811,35.90687982,139.5830284,サカエショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,宮前小学校,埼玉県さいたま市西区宮前町341,35.92300185,139.5947462,ミヤマエショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,指扇北小学校,埼玉県さいたま市西区中釘1506-1,35.93357649,139.571891,サシオウギキタショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,指扇中学校,埼玉県さいたま市西区西大宮3-31-1,35.92764846,139.576683,サシオウギチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,馬宮中学校,埼玉県さいたま市西区二ツ宮589-1,35.89871378,139.5799737,マミヤチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,大宮西中学校,埼玉県さいたま市西区三橋6-1558,35.92009529,139.59074,オオミヤニシチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,宮前中学校,埼玉県さいたま市西区宮前町1467-1,35.92975997,139.5981629,ミヤマエチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,植水中学校,埼玉県さいたま市西区三条町345-1,35.88689659,139.5838512,ウエミズチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,土屋中学校,埼玉県さいたま市西区土屋1766-1,35.9117327,139.5713233,ツチヤチュウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮光陵高等学校,埼玉県さいたま市西区中野林145,35.89470937,139.5894314,ケンリツオオミヤコウリョウコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮南高等学校,埼玉県さいたま市西区植田谷本793,35.88823121,139.5897208,ケンリツオオミヤミナミコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮武蔵野高等学校,埼玉県さいたま市西区西遊馬1601,35.9094594,139.5604624,ケンリツオオミヤムサシノコウトウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,三橋総合公園体育館,埼玉県さいたま市西区三橋5-190,35.9131934,139.5954734,ミハシソウゴウコウエンタイイクカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,県立大宮北特別支援学校,埼玉県さいたま市西区中釘2290-1,35.94321217,139.5739819,ケンリツオオミヤキタトクベツシエンガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,健康福祉センター西楽園,埼玉県さいたま市西区宝来60-1,35.9327682,139.5537568,ケンコウフクシセンターセイラクエン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,指扇公民館,埼玉県さいたま市西区高木449-1,35.9251329,139.5720557,サシオウギコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,馬宮公民館,埼玉県さいたま市西区西遊馬236-2,35.9036504,139.5731281,マミヤニシコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,植水公民館,埼玉県さいたま市西区中野林173-2,35.8939378,139.5916854,ウエミズコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,内野公民館,埼玉県さいたま市西区三橋6-1457-1,35.92075943,139.5917521,ウチノコウミンカン,
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,東大成小学校,埼玉県さいたま市北区東大成町2-12,35.92493692,139.6187689,ヒガシオオナリショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,日進小学校,埼玉県さいたま市北区日進町2-911,35.92522957,139.6074386,ニッシンショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,日進北小学校,埼玉県さいたま市北区日進町3-178,35.9369061,139.6041502,ニッシンキタショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,宮原小学校,埼玉県さいたま市北区宮原町4-102-6,35.94910214,139.6061345,ミヤハラショウガッコウ,あり
指定避難所,災害の危険性があり避難した住民が、一定期間滞在し、生活することができる施設。,植竹小学校,埼玉県さいたま市北区植竹町2-1,35.92977525,139.6259017,ウエタケショウガッコウ,あり
