さいたま市町名別人口,2022/5/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11101,西区　　　               ,宮前町　　　　　　　,ミヤマエチヨウ　　　,1526,1718,1708,3426
11101,西区　　　               ,三橋５丁目　　　　　,ミハシ５チヨウメ　　,1682,1748,1747,3495
11101,西区　　　               ,三橋６丁目　　　　　,ミハシ６チヨウメ　　,4329,4884,4902,9786
11101,西区　　　               ,大字指扇　　　　　　,サシオウギ　　　　　,8181,8727,8943,17670
11101,西区　　　               ,大字指扇領別所　　　,サシオウギリヨウ　　,1331,1277,1352,2629
11101,西区　　　               ,大字宝来　　　　　　,ホウライ　　　　　　,1848,1840,1949,3789
11101,西区　　　               ,大字峰岸　　　　　　,ミネギシ　　　　　　,314,273,317,590
11101,西区　　　               ,大字指扇領辻　　　　,サシオウギリヨウ　　,177,207,196,403
11101,西区　　　               ,大字中釘　　　　　　,ナカクギ　　　　　　,841,894,955,1849
11101,西区　　　               ,大字高木　　　　　　,タカギ　　　　　　　,1240,1353,1401,2754
11101,西区　　　               ,大字清河寺　　　　　,セイガンジ　　　　　,571,565,611,1176
11101,西区　　　               ,大字内野本郷　　　　,ウチノホンゴウ　　　,2425,2804,2760,5564
11101,西区　　　               ,大字西新井　　　　　,ニシアライ　　　　　,271,298,301,599
11101,西区　　　               ,大字平方領々家　　　,ヒラカタリヨウリヨ　,117,152,145,297
11101,西区　　　               ,大字西遊馬　　　　　,ニシアスマ　　　　　,2133,2211,2280,4491
11101,西区　　　               ,大字土屋　　　　　　,ツチヤ　　　　　　　,1660,1672,1735,3407
11101,西区　　　               ,大字二ツ宮　　　　　,フタツミヤ　　　　　,931,1004,1078,2082
11101,西区　　　               ,大字飯田新田　　　　,イイダシンデン　　　,413,477,444,921
11101,西区　　　               ,大字塚本　　　　　　,ツカモト　　　　　　,21,18,17,35
11101,西区　　　               ,大字植田谷本村新田　,ウエタヤホンムラシン,7,6,6,12
