団体コード,団体名,施設_名称,施設_電話番号,施設_住所_表記,lat,lon,施設_種別,サービス_対象［利用可能日齢］,施設_収容人数［総定員］人数,施設_保育開始時間,施設_保育終了時間
11007,さいたま市,明日香保育園,048-622-5586,さいたま市西区植田谷本316,35.8873096,139.5955231,民間保育所,５７日〜５歳,110,7:30,19:30
11007,さいたま市,まみ保育園,048-673-0330,さいたま市西区内野本郷383-8,35.9331223,139.5951744,民間保育所,５７日〜５歳,50,7:00,19:00
11007,さいたま市,おうぎの森保育園,048-625-7272,さいたま市西区高木598,35.9266596,139.5679058,民間保育所,５７日〜５歳,110,7:00,20:00
11007,さいたま市,あおぞら西保育園,048-783-3755,さいたま市西区宮前町695-2,35.9240391,139.5854301,民間保育所,６か月〜５歳,90,7:30,19:30
11007,さいたま市,西遊馬保育園,048-620-7879,さいたま市西区西遊馬771-11,35.9094708,139.5683579,民間保育所,５７日〜５歳,90,7:15,19:15
11007,さいたま市,未来ほしの子保育園,048-625-2222,さいたま市西区三橋5丁目35,35.9141026,139.5927187,民間保育所,５７日〜５歳,120,7:00,19:00
11007,さいたま市,西大宮どんぐり保育園,048-783-3361,さいたま市西区指扇3711-1,35.922865,139.58076,民間保育所,５７日〜５歳,90,7:10,19:10
11007,さいたま市,野の花すみれ保育園,048-782-4386,さいたま市西区三橋5丁目641-3,35.903712,139.594554,民間保育所,１２０日〜２歳,40,7:00,19:00
11007,さいたま市,西大宮青藍保育園,048-729-6726,さいたま市西区西大宮3-25-5,35.912964,139.578932,民間保育所,５７日〜５歳,80,7:00,19:00
11007,さいたま市,大宮さくら保育園,048-664-5054,さいたま市北区別所町98-6,35.9580582,139.5933561,民間保育所,１歳〜５歳,60,7:30,19:30
11007,さいたま市,本郷保育園,048-652-3440,さいたま市北区本郷町1328-1,35.9433276,139.630489,民間保育所,５７日〜５歳,110,7:00,19:30
11007,さいたま市,大宮つぼみ保育園,048-668-5203,さいたま市北区土呂町2丁目9-19,35.9303375,139.6327441,民間保育所,４３日〜５歳,60,7:00,19:00
11007,さいたま市,ハーモニー保育園,048-667-8655,さいたま市北区宮原町2丁目39-16,35.941145,139.6145481,民間保育所,６か月〜５歳,45,7:00,18:30
11007,さいたま市,今羽保育園,048-661-6011,さいたま市北区吉野町1丁目19-1,35.9482403,139.6188755,民間保育所,５７日〜５歳,60,7:00,19:30
11007,さいたま市,にじいろ保育園,048-652-5400,さいたま市北区宮原町1丁目475-7,35.9370463,139.6168636,民間保育所,４３日〜５歳,90,7:30,20:30
11007,さいたま市,けやきの森保育園,048-661-6525,さいたま市北区日進町2丁目1519-1,35.9321441,139.6004571,民間保育所,４３日〜５歳,90,7:30,19:30
11007,さいたま市,くすのき保育園,048-796-4901,さいたま市北区日進町3丁目543-3,35.9379852,139.6039668,民間保育所,５７日〜５歳,60,7:30,19:30
11007,さいたま市,遊美保育園,048-654-8714,さいたま市北区本郷町106,35.9384504,139.6262051,民間保育所,５７日〜５歳,80,7:30,19:30
11007,さいたま市,大宮むさしの保育園,048-664-6659,さいたま市北区宮原町1丁目430,35.9366693,139.619807,民間保育所,９０日〜５歳,90,7:30,19:30
11007,さいたま市,うぃず日進駅前保育園,048-871-8457,さいたま市北区日進町2丁目1859-1,35.9324335,139.6068618,民間保育所,９０日〜５歳,110,7:30,19:30
11007,さいたま市,ゆうりん保育園,048-699-0180,さいたま市北区土呂町1丁目28-1,35.9335318,139.6316166,民間保育所,１歳〜５歳,86,7:30,20:00
11007,さいたま市,にじの星保育園,048-871-6687,さいたま市北区宮原町3丁目209-2,35.9373749,139.610389,民間保育所,１歳〜５歳,60,7:15,20:15
11007,さいたま市,えがお保育園,048-782-5500,さいたま市北区宮原町4丁目83-5,35.9481104,139.609885,民間保育所,６か月〜５歳,90,7:00,19:00
11007,さいたま市,大宮日進さくらんぼ保育園,048-788-2820,さいたま市北区日進町2丁目1914-7,35.9329244,139.6084758,民間保育所,９０日〜５歳,90,7:00,20:00
11007,さいたま市,あい音保育園,048-729-5831,さいたま市北区宮原町4丁目3-9,35.9431751,139.6091691,民間保育所,６か月〜５歳,90,7:15,19:15
11007,さいたま市,大宮たんぽぽ保育園,048-729-8788,さいたま市北区土呂町1-46-1,35.936224,139.631101,民間保育所,５７日〜５歳,90,7:15,19:15
11007,さいたま市,ゆうりん保育園分園,048-699-2202,さいたま市北区土呂町1-7-8,35.930603,139.630478,民間保育所,９０日〜３歳,30,7:30,20:00
11007,さいたま市,東大成ひなた保育園,048-729-6308,さいたま市北区東大成町1-656-1,35.918563,139.62377,民間保育所,５７日〜５歳,60,7:30,19:30
11007,さいたま市,うぐす保育園　日進,048-661-0880,さいたま市北区日進町2-1746-3,35.932628,139.606105,民間保育所,５７日〜５歳,60,7:30,19:30
11007,さいたま市,大宮みちのこ保育園,048-788-1878,さいたま市北区植竹町2-69-6,35.93295,139.62816,民間保育所,５７日〜５歳,80,7:00,20:00
11007,さいたま市,白菊保育園,048-643-0880,さいたま市大宮区天沼町1丁目148-1,35.9058618,139.639873,民間保育所,５７日〜５歳,120,7:00,19:00
11007,さいたま市,もとの木保育園,048-650-0202,さいたま市大宮区堀の内町3丁目236-2,35.9160261,139.63816,民間保育所,４３日〜５歳,60,7:00,19:00
11007,さいたま市,桜花保育園,048-782-8286,さいたま市大宮区桜木町4丁目554-1,35.8960833,139.6197837,民間保育所,６０日〜５歳,100,7:30,19:30
11007,さいたま市,らそ保育園,048-666-4149,さいたま市大宮区櫛引町1丁目574,35.9129494,139.6091818,民間保育所,１歳〜５歳,80,7:30,19:30
11007,さいたま市,あおぞらウィンクルム保育園,048-782-8716,"さいたま市大宮区桜木町1丁目185-2
のびのびプラザ大宮2F",35.9033632,139.6225033,民間保育所,６か月〜５歳,90,7:00,20:00
11007,さいたま市,太陽の子堀の内保育園,048-650-6611,さいたま市大宮区堀の内町1丁目178-1,35.9095957,139.637918,民間保育所,５７日〜５歳,70,7:30,20:00
11007,さいたま市,大成たいよう保育園,048-778-8615,さいたま市大宮区大成町2-161-1,35.915213,139.616301,民間保育所,４３日〜５歳,80,7:30,19:30
11007,さいたま市,みずほ保育園大宮天沼,048-658-3240,さいたま市大宮区天沼町1-505-2,35.9091,139.64188,民間保育所,４３日〜５歳,60,7:30,19:30
