さいたま市浄化槽清掃許可業者一覧表,,,
番号,清掃業者名,住所,電話番号
1,（有）太盛,大宮区櫛引町１−３８１,048-663-0461
2,（株）協和清掃運輸,西区宝来１２０−２,048-622-2260
3,片山商事㈱,見沼区深作５−１８,048-685-1711
4,（株）加藤商事,西区内野本郷２９７−４,048-624-5335
5,埼玉中央清掃（株）,見沼区大和田町１−１１１８,048-684-9158
6,宇佐見産業（株）,大宮区三橋２−５９２−３,048-624-2100
7,（有）昭栄産業,埼玉県上尾市栄町８−１７,048-771-6168
8,（株）サンワ環境開発,見沼区宮ヶ谷塔３−１９０−２,048-684-5079
9,(有)東大宮清運,見沼区宮ヶ谷塔４−１６,048-683-0744
10,光生産研（株）,浦和区大原５−１２−１,048-831-4941
11,原田商事（株）,桜区田島９−３１−１,048-861-4963
12,（株）セイウン,桜区田島９−３１−１,048-861-5151
13,協和商事（株）,浦和区神明２−２４−３,048-822-8325
14,安住環境整美㈱,岩槻区高曽根１０３７,048-798-1192
15,（有）オカモト,岩槻区釣上２１０,048-798-0428
16,大倉商事㈱,岩槻区釣上新田４９８−１,048-798-0113
17,都市管理サービス㈱,岩槻区上野４−３−１０,048-794-8000
18,大工原清掃,岩槻区笹久保新田１１１８,048-798-0907
19,木浦清掃,岩槻区長宮９９０−１,048-799-1636
20,森住清掃,岩槻区尾ヶ崎２１１３,048-798-3951
21,（有）東佑商事,岩槻区釣上新田８２０,048-798-1063
22,（有）田口商事,岩槻区美園東２−４７−８,048-798-0659
23,須賀清掃,岩槻区新方須賀１０８０−１,048-799-1333
,,,（令和３年７月１日現在）
