住所（所在地）,名称,種別,緯度,経度
西区島根65,医療法人社団恵仁会　与野中央病院,不在者投票指定施設,35.8847827,139.6016023
西区西遊馬1556-1,医療法人財団新生会介護老人保健施設高齢者ケアセンターゆらぎ,不在者投票指定施設,35.9113183,139.5647554
西区飯田新田91-1,社会福祉法人むつみ会介護老人保健施設春陽苑,不在者投票指定施設,35.8883336,139.5600076
西区清河寺796-1,さいたま市立養護老人ホーム　富士見園,不在者投票指定施設,35.9357341,139.5818676
西区中釘2219-4,社会福祉法人三恵会特別養護老人ホーム三恵苑,不在者投票指定施設,35.9398688,139.5729485
西区飯田新田91-1,社会福祉法人むつみ会特別養護老人ホーム　春陽苑,不在者投票指定施設,35.8879992,139.5598888
西区宝来86-１,社会福祉法人欣彰会　特別養護老人ホーム　敬寿園宝来ホーム,不在者投票指定施設,35.931668,139.5540386
西区宝来1295-1,医療法人三慶会指扇病院,不在者投票指定施設,35.9228546,139.5608582
西区宝来1348-1,医療法人三慶会指扇療養病院,不在者投票指定施設,35.9225361,139.5622369
西区島根299-1,医療法人財団　さいたま市民医療センター,不在者投票指定施設,35.8818483,139.5982193
西区中野林650-1,社会福祉法人ハッピーネット特別養護老人ホーム中野林ゆめの園,不在者投票指定施設,35.8913087,139.5848478
西区高木602,社会福祉法人永寿荘特別養護老人ホーム扇の森,不在者投票指定施設,35.9268792,139.5672869
西区高木892,社会福祉法人三恵会　特別養護老人ホーム　ひかわ,不在者投票指定施設,35.9318481,139.5727828
西区佐知川1522-1,社会福祉法人友好会　特別養護老人ホーム　遊美園,不在者投票指定施設,35.9052276,139.5764094
西区清河寺685-1,医療法人社団　葵会 介護老人保健施設　葵の園・大宮,不在者投票指定施設,35.9335788,139.5828489
西区宝来1348-1,医療法人　三慶会　介護老人保健施設　びわの葉,不在者投票指定施設,35.9226287,139.5624111
西区指扇1570-2,社会福祉法人五葉会　特別養護老人ホーム緑水苑指扇,不在者投票指定施設,35.9161386,139.5815944
西区三橋6丁目1234番1,HITOWAケアサービス株式会社　介護付有料老人ホーム　イリーゼ西大宮,不在者投票指定施設,35.9152892,139.5851881
北区宮原町1丁目851番地,独立行政法人地域医療機能推進機構 さいたま北部医療センター,不在者投票指定施設,35.9327417,139.6196533
北区東大成町1丁目227,医療法人ヘブロン会　大宮中央総合病院,不在者投票指定施設,35.9206957,139.6210765
北区別所町892,社会福祉法人悦生会　特別養護老人ホーム　なごみの里,不在者投票指定施設,35.9605584,139.5886169
