さいたま市町名別人口,2022/1/31,,,,,,
区名コード,区名,町名,町名カナ,町別世帯数,町別男性人口,町別女性人口,町別人口
11101,西区　　　               ,宮前町　　　　　　　,ミヤマエチヨウ　　　,1520,1723,1711,3434
11101,西区　　　               ,三橋５丁目　　　　　,ミハシ５チヨウメ　　,1669,1743,1731,3474
11101,西区　　　               ,三橋６丁目　　　　　,ミハシ６チヨウメ　　,4321,4900,4919,9819
11101,西区　　　               ,大字指扇　　　　　　,サシオウギ　　　　　,8084,8707,8911,17618
11101,西区　　　               ,大字指扇領別所　　　,サシオウギリヨウ　　,1326,1268,1359,2627
11101,西区　　　               ,大字宝来　　　　　　,ホウライ　　　　　　,1822,1836,1940,3776
11101,西区　　　               ,大字峰岸　　　　　　,ミネギシ　　　　　　,306,276,318,594
11101,西区　　　               ,大字指扇領辻　　　　,サシオウギリヨウ　　,174,204,194,398
11101,西区　　　               ,大字中釘　　　　　　,ナカクギ　　　　　　,847,906,964,1870
11101,西区　　　               ,大字高木　　　　　　,タカギ　　　　　　　,1252,1358,1414,2772
11101,西区　　　               ,大字清河寺　　　　　,セイガンジ　　　　　,563,559,609,1168
11101,西区　　　               ,大字内野本郷　　　　,ウチノホンゴウ　　　,2389,2786,2723,5509
11101,西区　　　               ,大字西新井　　　　　,ニシアライ　　　　　,271,296,303,599
11101,西区　　　               ,大字平方領々家　　　,ヒラカタリヨウリヨ　,116,151,145,296
11101,西区　　　               ,大字西遊馬　　　　　,ニシアスマ　　　　　,2095,2203,2233,4436
11101,西区　　　               ,大字土屋　　　　　　,ツチヤ　　　　　　　,1620,1655,1684,3339
11101,西区　　　               ,大字二ツ宮　　　　　,フタツミヤ　　　　　,923,1013,1077,2090
11101,西区　　　               ,大字飯田新田　　　　,イイダシンデン　　　,464,518,489,1007
11101,西区　　　               ,大字塚本　　　　　　,ツカモト　　　　　　,18,16,16,32
11101,西区　　　               ,大字植田谷本村新田　,ウエタヤホンムラシン,7,6,6,12
11101,西区　　　               ,湯木町１丁目　　　　,ユギチヨウ１チヨウメ,39,45,49,94
11101,西区　　　               ,湯木町２丁目　　　　,ユギチヨウ２チヨウメ,47,53,54,107
11101,西区　　　               ,塚本町１丁目　　　　,ツカモトチヨウ１チヨ,30,30,29,59
11101,西区　　　               ,塚本町２丁目　　　　,ツカモトチヨウ２チヨ,48,58,55,113
11101,西区　　　               ,塚本町３丁目　　　　,ツカモトチヨウ３チヨ,60,74,74,148
11101,西区　　　               ,プラザ　　　　　　　,プラザ　　　　　　　,1501,1599,1740,3339
11101,西区　　　               ,大字島根　　　　　　,シマネ　　　　　　　,494,551,575,1126
11101,西区　　　               ,大字三条町　　　　　,サンジヨウチヨウ　　,209,244,250,494
11101,西区　　　               ,大字植田谷本　　　　,ウエタヤホン　　　　,1263,1201,1249,2450
11101,西区　　　               ,大字中野林　　　　　,ナカノバヤシ　　　　,925,1058,1061,2119
11101,西区　　　               ,大字飯田　　　　　　,イイダ　　　　　　　,449,552,536,1088
11101,西区　　　               ,大字水判土　　　　　,ミズハタ　　　　　　,650,729,767,1496
11101,西区　　　               ,大字佐知川　　　　　,サヂカワ　　　　　　,3302,3675,3795,7470
11101,西区　　　               ,西大宮１丁目　　　　,ニシオオミヤ１チヨウ,992,1043,1073,2116
11101,西区　　　               ,西大宮２丁目　　　　,ニシオオミヤ２チヨウ,561,740,736,1476
11101,西区　　　               ,西大宮３丁目　　　　,ニシオオミヤ３チヨウ,1285,1578,1571,3149
11101,西区　　　               ,西大宮４丁目　　　　,ニシオオミヤ４チヨウ,860,1248,1219,2467
11102,北区　　　               ,大成町４丁目　　　　,オオナリチヨウ４チヨ,2958,3117,3235,6352
11102,北区　　　               ,東大成町１丁目　　　,ヒガシオオナリチヨウ,2476,2261,2232,4493
11102,北区　　　               ,東大成町２丁目　　　,ヒガシオオナリチヨウ,2633,2807,2928,5735
11102,北区　　　               ,日進町１丁目　　　　,ニツシンチヨウ１チヨ,4958,5436,4772,10208
11102,北区　　　               ,日進町２丁目　　　　,ニツシンチヨウ２チヨ,7471,7512,8057,15569
11102,北区　　　               ,日進町３丁目　　　　,ニツシンチヨウ３チヨ,2845,2811,2881,5692
