住所（所在地）,名称,種別,郵便番号,ＴＥＬ,ＦＡＸ,緯度,経度
南区南本町2丁目25-27,さいたま市立岸中学校,中学校,336-0018,048-822-4022,048-835-1358,35.8503604,139.6649566
浦和区針ヶ谷4丁目1-9,さいたま市立常盤中学校,中学校,330-0075,048-831-3189,048-830-1561,35.8782,139.6393677
浦和区瀬ヶ崎2丁目17-1,さいたま市立木崎中学校,中学校,330-0044,048-886-4302,048-811-1337,35.8787747,139.6615672
緑区太田窪1丁目10-22,さいたま市立原山中学校,中学校,336-0936,048-882-3192,048-811-1338,35.8663078,139.6669107
浦和区領家1丁目4-15,さいたま市立本太中学校,中学校,330-0072,048-886-4305,048-811-1339,35.8733928,139.6584833
緑区中尾1207-1,さいたま市立東浦和中学校,中学校,336-0932,048-873-4141,048-810-1126,35.8745072,139.6841698
南区辻6丁目1-33,さいたま市立南浦和中学校,中学校,336-0026,048-863-0753,048-836-1589,35.8348572,139.6571645
南区白幡2丁目18-13,さいたま市立白幡中学校,中学校,336-0022,048-861-3203,048-836-1587,35.8484502,139.6526509
浦和区大原3丁目1-11,さいたま市立大原中学校,中学校,330-0046,048-831-5397,048-835-1357,35.8928799,139.6482095
桜区町谷1丁目19-1,さいたま市立土合中学校,中学校,338-0836,048-853-7200,048-840-1432,35.8598951,139.623198
桜区五関282,さいたま市立大久保中学校,中学校,338-0815,048-852-3554,048-840-1430,35.8669007,139.5979414
南区大谷場2丁目13-54,さいたま市立大谷場中学校,中学校,336-0016,048-882-9962,048-811-1336,35.8534215,139.6742528
緑区大崎2550-3,さいたま市立美園中学校,中学校,336-0974,048-878-0019,048-812-1049,35.8921389,139.7126234
南区広ヶ谷戸21,さいたま市立大谷口中学校,中学校,336-0041,048-887-1000,048-811-1335,35.8628465,139.6831659
桜区田島10丁目13-1,さいたま市立田島中学校,中学校,338-0837,048-864-3451,048-836-1588,35.838475,139.6225816
緑区馬場1丁目38-2,さいたま市立三室中学校,中学校,336-0912,048-874-2331,048-810-1125,35.8867226,139.6842384
桜区上大久保861-1,さいたま市立上大久保中学校,中学校,338-0824,048-855-3901,048-840-1431,35.8718673,139.6163867
南区内谷6丁目10-1,さいたま市立内谷中学校,中学校,336-0034,048-861-7571,048-836-1586,35.8352541,139.6479275
緑区東浦和4丁目29-1,さいたま市立尾間木中学校,中学校,336-0926,048-874-9733,048-810-1127,35.8688522,139.6984635
大宮区堀の内町1丁目99,さいたま市立大宮東中学校,中学校,330-0804,048-641-0808,048-645-1922,35.9081325,139.6350034
大宮区天沼町2丁目362,さいたま市立大宮南中学校,中学校,330-0834,048-641-1142,048-641-5356,35.8990706,139.6367866
大宮区寿能町1丁目21,さいたま市立大宮北中学校,中学校,330-0805,048-641-1214,048-641-5364,35.9215763,139.6329255
大宮区桜木町4丁目219,さいたま市立桜木中学校,中学校,330-0854,048-641-0459,048-645-4584,35.9052995,139.6166701
大宮区三橋1丁目1300,さいたま市立三橋中学校,中学校,330-0856,048-641-0793,048-641-6288,35.9047788,139.6022142
大宮区大成町2丁目379,さいたま市立大成中学校,中学校,330-0852,048-663-1008,048-663-9880,35.9132813,139.613303
北区櫛引町2丁目503-1,さいたま市立日進中学校,中学校,331-0825,048-663-1251,048-663-0834,35.9215133,139.6100145
北区宮原町4丁目129,さいたま市立宮原中学校,中学校,331-0812,048-663-0961,048-663-9881,35.9519175,139.6051078
北区土呂町352,さいたま市立植竹中学校,中学校,331-0804,048-663-2115,048-665-6377,35.9339878,139.6270253
見沼区東大宮1丁目100-1,さいたま市立大砂土中学校,中学校,337-0051,048-684-8004,048-684-8966,35.9379901,139.6446878
西区西大宮3丁目31-1,さいたま市立指扇中学校,中学校,331-0048,048-624-6234,048-624-2479,35.9275148,139.5770727
西区二ツ宮589-1,さいたま市立馬宮中学校,中学校,331-0065,048-624-0623,048-624-2131,35.8991051,139.5799245
見沼区御蔵551,さいたま市立片柳中学校,中学校,337-0033,048-683-3173,048-683-8963,35.906825,139.6741513
見沼区小深作268-19,さいたま市立春里中学校,中学校,337-0005,048-683-3458,048-683-8979,35.940931,139.6641298
西区三橋6丁目1558,さいたま市立大宮西中学校,中学校,331-0052,048-624-4339,048-624-2132,35.920152,139.5905867
見沼区東宮下1丁目1-1,さいたま市立七里中学校,中学校,337-0012,048-685-0603,048-685-5101,35.9277122,139.6810131
北区本郷町1991,さいたま市立泰平中学校,中学校,331-0802,048-651-4134,048-651-4626,35.9486896,139.6271298
西区宮前町1467-1,さいたま市立宮前中学校,中学校,331-0046,048-623-7381,048-624-2133,35.9298349,139.5981006
西区三条町345-1,さいたま市立植水中学校,中学校,331-0056,048-623-2581,048-624-2134,35.8869395,139.5839486
見沼区大谷1634-2,さいたま市立大谷中学校,中学校,337-0014,048-685-6982,048-685-5118,35.925652,139.6668684
大宮区天沼町1丁目760,さいたま市立第二東中学校,中学校,330-0834,048-643-2133,048-643-3298,35.9089339,139.6451112
西区土屋1766-1,さいたま市立土屋中学校,中学校,331-0062,048-622-4611,048-624-2135,35.9117248,139.5709321
見沼区南中丸357,さいたま市立大宮八幡中学校,中学校,337-0041,048-687-8800,048-687-9301,35.9192282,139.6532921
北区見沼3丁目75,さいたま市立土呂中学校,中学校,331-0803,048-654-5100,048-654-5115,35.9389182,139.6372627
見沼区春野2丁目2-1,さいたま市立春野中学校,中学校,337-0002,048-682-3951,048-682-3952,35.9565444,139.6632244
中央区下落合3丁目21-10,さいたま市立与野東中学校,中学校,338-0002,048-831-4527,048-831-4505,35.8884985,139.6321857
中央区鈴谷8丁目10-33,さいたま市立与野西中学校,中学校,338-0013,048-852-6235,048-852-6253,35.8779357,139.6235844
中央区大戸2丁目6-25,さいたま市立与野南中学校,中学校,338-0012,048-852-1579,048-852-1937,35.8657006,139.6347551
中央区八王子4丁目2-1,さいたま市立八王子中学校,中学校,338-0006,048-854-8381,048-854-8382,35.8785748,139.6083743
岩槻区仲町1丁目14-35,さいたま市立岩槻中学校,中学校,339-0054,048-756-0254,048-758-7483,35.949428,139.7036382
岩槻区長宮435,さいたま市立川通中学校,中学校,339-0011,048-799-1061,048-799-0436,35.9478442,139.7313645
岩槻区笹久保577,さいたま市立城南中学校,中学校,339-0034,048-798-0007,048-798-8725,35.9149907,139.727192
岩槻区裏慈恩寺505,さいたま市立慈恩寺中学校,中学校,339-0002,048-794-1141,048-795-0374,35.9852249,139.7049493
岩槻区本宿392-1,さいたま市立城北中学校,中学校,339-0074,048-757-1582,048-758-7494,35.9647836,139.689297
岩槻区表慈恩寺684-1,さいたま市立桜山中学校,中学校,339-0008,048-794-4061,048-795-0379,35.9729116,139.7111876
岩槻区真福寺454,さいたま市立柏陽中学校,中学校,339-0044,048-798-6655,048-798-8729,35.9359452,139.7030404
岩槻区岩槻3750,さいたま市立西原中学校,中学校,339-0061,048-756-1117,048-758-7493,35.9551333,139.6814421
浦和区元町1丁目28-17,さいたま市立浦和中学校,中学校,330-0073,048-886-8008,048-886-8555,35.8711333,139.6573241
緑区美園6丁目15,さいたま市立美園南中学校,中学校,336-0967,048-878-3511,048-878-3512,35.885703,139.73699
