名称,種別,ＴＥＬ,住所,緯度,経度
指扇風の子,（民設）放課後児童クラブ,623-1030,西区西大宮1-47-1-1F,35.92323,139.572744
指扇にじのこ,（民設）放課後児童クラブ,625-1231,西区西大宮1-49-9,35.921934,139.5729796
指扇そらの子,（民設）放課後児童クラブ,622-0133,西区西大宮1-47-1-2F,35.92323,139.572744
指扇北のびのび,（民設）放課後児童クラブ,623-8550,西区中釘1691,35.937334,139.572058
指扇北すくすく,（民設）放課後児童クラブ,626-2979,西区中釘1538-1,35.9322629,139.5720649
指扇北きらきら,（民設）放課後児童クラブ,788-1108,西区西大宮3-26-1 1階,35.92797,139.580086
指扇北にこにこ,（民設）放課後児童クラブ,788-1806,西区西大宮3-26-1 2階,35.92797,139.580086
さくらそう　わかば,（民設）放課後児童クラブ,622-5451,西区西遊馬583−1,35.904956,139.568119
さくらそう　ふたば,（民設）放課後児童クラブ,871-8008,西区佐知川809-2,35.905503,139.583374
大宮西児童クラブ,（民設）放課後児童クラブ,623-3831,西区佐知川1112,35.9012301,139.5846586
キッズクラブおおみや西あおぞら,（民設）放課後児童クラブ,788-4889,西区三橋6-382-1,35.913045,139.585799
キッズクラブおおみや西つばさ,（民設）放課後児童クラブ,788-4889,西区三橋6-382-1,35.913045,139.585799
キッズクラブまみや西,（民設）放課後児童クラブ,778-9577,西区飯田新田189-2 馬宮西小学校内,35.885839,139.559936
かたつむり学童クラブ宮前,（民設）放課後児童クラブ,877-4057,北区日進町1-190-5,35.9223309,139.5962236
かたつむり学童クラブ宮前Ⅱ,（民設）放課後児童クラブ,637-0948,北区日進町1-190-39ビューパレ大宮1階,35.921971,139.596662
どんぐりクラブ日進北一,（民設）放課後児童クラブ,667-1304,北区日進町3-203,35.9362036,139.6031998
どんぐりクラブ日進北二,（民設）放課後児童クラブ,871-8490,北区日進町3-231-1クリアスタイル大宮101・102,35.936309,139.602595
どんぐりクラブ日進北三,（民設）放課後児童クラブ,783-4684,北区日進町3-757-2,35.940472,139.606778
宮原小学童保育の会はちのすクラブ,（民設）放課後児童クラブ,796-3912,北区吉野町1-395-1,35.9541013,139.6102598
宮原小学童保育の会クローバークラブ,（民設）放課後児童クラブ,776-9128,北区宮原町4-99-9 VIP宮原1F,35.9475708,139.6055997
スマイルクラブ,（民設）放課後児童クラブ,090-5418-8073,北区宮原町4-83-13,35.94743917,139.6102608
日進小第一学童保育の会,（民設）放課後児童クラブ,652-8360,北区日進町2-911 日進小学校内,35.9252012,139.6076042
日進小第二学童保育の会,（民設）放課後児童クラブ,652-9779,北区日進町2-869　2号室,35.9277338,139.6071113
日進小第三学童保育の会,（民設）放課後児童クラブ,782-5362,北区日進町2-869　3号室,35.9277338,139.6071113
日進小第四学童保育の会,（民設）放課後児童クラブ,782-5314,北区日進町2-869　4号室,35.9277338,139.6071113
大砂土わんぱくキッズ,（民設）放課後児童クラブ,652-2030,北区本郷町229-1　1F,35.938014,139.629327
大砂土にこにこキッズ,（民設）放課後児童クラブ,778-8818,北区本郷町229-1　2F,35.938014,139.629327
大砂土山ねこ,（民設）放課後児童クラブ,663-8016,北区本郷町113　シンエイビル　2F,35.9381309,139.6265823
げんきっず大砂土放課後児童クラブ,（民設）放課後児童クラブ,788-4592,北区土呂町1-7-8　アイリスビル202,35.93075409,139.6304922
げんきっず大砂土第2放課後児童クラブ,（民設）放課後児童クラブ,699-0176,北区土呂町1-7-8　アイリスビル201,35.9306401,139.63048
キッズスペースきぼう,（民設）放課後児童クラブ,778-8786,北区別所町42-7,35.9545076,139.5983168
キッズスペース奈良,（民設）放課後児童クラブ,778-7125,北区奈良町120-6,35.9511662,139.5976417
キッズスペース別所,（民設）放課後児童クラブ,652-0577,北区別所町97-5,35.9581804,139.5948431
泰平小学童保育の会,（民設）放課後児童クラブ,666-3466,北区今羽町369,35.9508169,139.6232595
東大成・植竹小かぜのこクラブ,（民設）放課後児童クラブ,668-6131,北区東大成町2-86-1　2Ｆ,35.9256792,139.6217824
東大成・植竹小ゆめのこクラブ,（民設）放課後児童クラブ,782-5242,北区宮原町1-12-5　2F,35.93060783,139.6191001
東大成・植竹小もりのこクラブ,（民設）放課後児童クラブ,782-8929,北区植竹町1-593-2,35.9278449,139.6246086
本郷学童保育所（第1）,（民設）放課後児童クラブ,668-3441,北区本郷町1325-3,35.9434101,139.6302681
本郷学童保育所（第2）,（民設）放課後児童クラブ,668-3441,北区本郷町1329-3,35.943076,139.63027
キッズスペースつばさ,（民設）放課後児童クラブ,668-1664,北区日進町2-1915-1,35.9332943,139.6096654
キッズスペースみらい,（民設）放課後児童クラブ,782-6515,北区日進町2-1624-1,35.9323031,139.6039442
キッズスペースたいよう,（民設）放課後児童クラブ,780-2826,北区宮原町2-16-1 2階,35.9399012,139.6122013
キッズスペースぎんが,（民設）放課後児童クラブ,666-3711,北区宮原町2-16-1 3階,35.9399012,139.6122013
キッズスペースこころ,（民設）放課後児童クラブ,729-8590,北区宮原町3-53　メゾネットまりえ1号室,35.93547119,139.6125753
げんきっずつばさ放課後児童クラブ,（民設）放課後児童クラブ,729-8941,北区日進町2-544-1,35.92869548,139.6085662
げんきっずつばさ第２放課後児童クラブ,（民設）放課後児童クラブ,657-8903,北区日進町2-822-2 福富ビル１Ｆ,35.929668,139.608241
芝川学童保育所芝川ほたるっこ,（民設）放課後児童クラブ,640-3677,大宮区天沼町1-394,35.90678073,139.6426313
芝川学童保育所芝川みどりっこ,（民設）放課後児童クラブ,642-0922,大宮区天沼町1-415-2,35.9071183,139.6430717
東小学童保育の会,（民設）放課後児童クラブ,644-9400,大宮区堀の内町3-79-1,35.913662,139.6371941
東小第二学童保育の会,（民設）放課後児童クラブ,644-9400,大宮区堀の内町3-79-1,35.913662,139.6371941
東小第三学童保育の会,（民設）放課後児童クラブ,644-9400,大宮区堀の内町3-145 大宮東小学校内,35.91399395,139.6356932
もとの木学童保育,（民設）放課後児童クラブ,783-2620,大宮区堀の内町3-236,35.915883,139.638256
桜木げんごろう,（民設）放課後児童クラブ,645-6565,大宮区桜木町4-328-1,35.9037214,139.6175525
桜木じゃりんこ,（民設）放課後児童クラブ,645-6185,大宮区桜木町4-328-1,35.9037251,139.6175458
桜木ダンデライオン,（民設）放課後児童クラブ,729-6264,大宮区桜木町4-921 1階,35.903375,139.6151
桜木はやぶさ,（民設）放課後児童クラブ,788-3111,大宮区桜木町4-921 2階,35.903375,139.6151
大宮小あおぎりっ子にじ,（民設）放課後児童クラブ,645-5234,大宮区大門町3-3 大宮小学校内,35.906632,139.630051
大宮小あおぎりっ子うみ,（民設）放課後児童クラブ,645-5234,大宮区大門町3-3 大宮小学校内,35.906632,139.630051
大宮小あおぎりっ子そら,（民設）放課後児童クラブ,645-5234,大宮区大門町3-3 大宮小学校内,35.906632,139.630051
大宮南なかよしキッズ,（民設）放課後児童クラブ,643-2277,大宮区吉敷町3-95,35.8998498,139.6335568
大宮南すまいるキッズ,（民設）放課後児童クラブ,782-7721,大宮区浅間町2-60,35.9022296,139.6322453
大宮南にじいろキッズ,（民設）放課後児童クラブ,783-5321,大宮区吉敷町4-84-2 2F,35.898383,139.63101
大宮南みらくるキッズ,（民設）放課後児童クラブ,871-6690,大宮区吉敷町1-81-1 2F,35.902146,139.629446
大宮南そらいろキッズ,（民設）放課後児童クラブ,657-8171,大宮区北袋町1-190-13 2F,35.89531986,139.6413808
大成パンダ,（民設）放課後児童クラブ,652-8730,大宮区大成町2-282 大成小学校内,35.914945,139.6138608
大成イルカ,（民設）放課後児童クラブ,653-2000,大宮区大成町3-446-1　橋本ビル1F,35.9157476,139.6147478
大成カモメ,（民設）放課後児童クラブ,668-3553,大宮区大成町2-365-1 2F,35.9138892,139.6133278
大成コアラ,（民設）放課後児童クラブ,778-7793,大宮区大成町2-282 大成小学校内,35.914945,139.6138608
大成ツバメ,（民設）放課後児童クラブ,778-9115,大宮区大成町2-365-1　3階,35.9138892,139.6133278
大宮北小たけのこクラブ,（民設）放課後児童クラブ,643-1508,大宮区宮町3-119-3,35.9114841,139.6284641
大宮北小まつのこクラブ,（民設）放課後児童クラブ,782-8003,大宮区宮町3-125-1,35.911547,139.628135
三橋小学童保育の会あすなろクラブ,（民設）放課後児童クラブ,642-8042,大宮区三橋2-95-5,35.903379,139.6028771
三橋小学童保育の会バイキングクラブ,（民設）放課後児童クラブ,641-9913,大宮区三橋2-90-1,35.9032074,139.6037199
三橋小学童保育の会パレットクラブ,（民設）放課後児童クラブ,642-3385,大宮区三橋2-55 ガレット21 103,35.902498,139.604487
キッズクラブみはし,（民設）放課後児童クラブ,778-9760,大宮区三橋2-606,35.89817297,139.601566
上小第一学童保育の会,（民設）放課後児童クラブ,647-8989,大宮区上小町1370　マイシティ上小町Ⅱ-105,35.8973041,139.6161164
上小第二学童保育の会,（民設）放課後児童クラブ,778-7899,大宮区上小町1336-1　シティハイム信栄108,35.897642,139.6156618
上小第三学童保育の会,（民設）放課後児童クラブ,783-4306,大宮区上小町1107,35.89973043,139.6141685
