自治会名一覧,,,,,,,,
令和４年４月２５日現在,,,,,,,,
西　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,指扇地区,五味貝戸自治会、下郷自治会、新屋敷自治会、宿自治会、中郷自治会、上郷自治会、赤羽根自治会、別所自治会、下宝来自治会、中宝来自治会、穂積自治会、峰岸自治会、指扇領辻自治会、秋葉自治会、中釘自治会、高木木ノ下自治会、清河寺南部自治会、清河寺北部自治会、内野本郷自治会、西新井自治会、琵琶島平自治会、指扇台自治会、指扇住友自治会、宝来大宮ハイツ自治会、西新井団地自治会、高木自治会、さしおうぎ団地自治会、ハイマート大宮自治会、太陽ケ丘自治会、内野本郷共栄自治会、県営大宮宝来団地自治会、滝沼自治会、大宮けやき台自治会、ライオンズマンション大宮指扇自治会、サニーホーム大宮自治会、ライオンズマンション大宮指扇第２自治会、ライオンズガーデン大宮指扇自治会、高木北貝戸自治会、高木末広自治会、高木阿弥陀寺自治会、県営大宮指扇団地自治会、ユーアイコーポ大宮指扇自治会、ガーテ大宮指扇自治会、指扇向自治会、オーベル大宮指扇自治会、コスモ大宮指扇自治会、天神自治会,47,,,,,
2,馬宮地区,宿東間自治会、西遊馬上サ自治会、西遊馬本村自治会、西遊馬高木自治会、西遊馬仲野自治会、指扇住宅自治会、湯木町自治会、土屋自治会、土屋大宮ハイツ自治会、二ッ宮上区自治会、二ッ宮中区自治会、二ッ宮下区自治会、二ッ宮東区自治会、二ッ宮南区自治会、塚本町自治会、西遊馬団地自治会、飯田新田自治会、大宮プラザ自治会,18,,,,,
3,植水地区,水判土自治会、佐知川上自治会、佐知川下自治会、佐知川団地自治会、三条町自治会、島根自治会、飯田自治会、中野林自治会、植田谷本自治会、加茂川団地自治会、中野林南区自治会,11,,,,,
4,内野地区,三橋５丁目自治会、三橋６丁目自治会、シティハイツ三橋自治会、大宮三橋西団地自治会、宮前町一丁目自治会、宮前町二丁目自治会,6,,,,,
西　区　合　計,,,82,,,,,
,,,,,,,,
北　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
1,日進地区,大宮自衛隊宿舎地区自治会、日進町１丁目自治会、大宮（日進）公務員住宅自治会、日進町２丁目自治会、日進町２丁目松原自治会、氷川会、日進町３丁目自治会、櫛引町２丁目自治会、大成町４丁目自治会、マンハイム大宮自治会、ベルヴィル大宮自治会、ビクトリアアネーロ大宮自治会、パークシティさいたま北コートレジデンス自治会,13,,,,,
2,宮原地区,宮原町一丁目自治会、宮原町二丁目自治会、宮原町三丁目自治会、宮原町四丁目鍛冶自治会、宮原町四丁目天神自治会、中道自治会、吉野町一丁目自治会、神山自治会、吉野町二丁目鈴木自治会、別所町自治会、奈良町自治会、奈良別所団地自治会、奈良団地自治会、宮原団地住宅自治会、ラミーユ大宮ハイライズ自治会、パークシティさいたま北コミュニティクラブ、イニシア大宮宮原自治会、サザンフォート自治会、ブランズ大宮宮原自治会、シティテラス大宮宮原自治会、リビオ大宮宮原自治会,21,,,,,
3,植竹地区,東大成１丁目自治会、東大成町長山団地自治会、東大成町２丁目自治会、植竹一丁目自治会、植竹町２丁目親和会、植竹町２丁目竹友会、植竹二丁目自治会、盆栽町町会,8,,,,,
4,大砂土地区,本郷町自治会、西本郷団地自治会、都市再生機構コンフォール本郷町団地自治会、今羽町自治会、市営今羽住宅自治会、土呂町自治会、大宮今羽町団地親睦会、コスモ大宮ガーデンシティ自治会,8,,,,,
小　計,,,50,,,,,
地区連合会未加入自治会,,県営大宮今羽団地自治会,1,,,,,
北　区　合　計,,,51,,,,,
,,,,,,,,
大　宮　区,,,,,,,,
NO,地区連合会,単位自治会名,自治会数,,,,,
